video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/shorts/f8QDvuGLVZw,/@TheTravelGuardian,The Travel Guardian,Da Nang Vietnam | 3 Days Itinerary | Things to do in Da Nang | Da Nang Travel Guide |Trip to Hoi An,207K,6 months,"Welcome to The Travel Guardian, your trusted travel companion bringing you the best travel guides from around the world!",2026-01-21 23:15:09.406523
/watch?v=DPQDPtX3unk&pp=ygUgZGFuYW5nLCBkYSBuYW5nLCBkYSBuYW5nIHZpZXRuYW0%3D,/@thecenzons,The Cenzons,Back in Da Nang and Hoi An VIETNAM w/ content creators! | Travel Guide and Itinerary | AUG 2025,19K,4 months,"Thank you for watching Da Nang and Hoi An Vietnam vlog! For more Vietnam travel tips, please check Vietnam playlist.",2026-01-21 23:15:09.407943
/watch?v=fRfkUkUXN3Q&pp=ygUgZGFuYW5nLCBkYSBuYW5nLCBkYSBuYW5nIHZpZXRuYW0%3D,/@docSammy.travels,Doc Sammy ,"DA NANG VIETNAM 🇻🇳 COMPLETE 5 DAYS ITINERARY W/ 28K PHP BUDGET (Hoi An, hotels, tours, airfare)",35K,11 months,Da Nang Vietnam Complete Itinerary for 5 Days ✨ Day 1 - Travel to Da NAng - Check in Tuyet Son Hotel - Da Nang Beach ...,2026-01-21 23:15:09.409301
/watch?v=l2QXlbsA33g&pp=ygUgZGFuYW5nLCBkYSBuYW5nLCBkYSBuYW5nIHZpZXRuYW0%3D,/@neek_and_kiel,Neek and Kiel,"Da Nang and Hoi An Vietnam | Food, Coffee, Old Town Vibes & Culture",19K,3 weeks,Da Nang and Hoi An Vietnam completely surprised us - from a Michelin-rated meal and riverside coffee culture in Da Nang to the ...,2026-01-21 23:15:09.411296
/watch?v=eW68KcjwU_k&pp=ygUgZGFuYW5nLCBkYSBuYW5nLCBkYSBuYW5nIHZpZXRuYW0%3D,/@TravelingBanda,Traveling Banda,3 Days in Da Nang & Hoi An | Vietnam Travel Guide,5.7K,2 months,Planning a trip to Vietnam? Then you have to add the very beautiful and vibrant city of Da Nang in Vietnam. Da Nang and Hoi an ...,2026-01-21 23:15:09.413691
/watch?v=ExQd3JMCJ6k&pp=ygUgZGFuYW5nLCBkYSBuYW5nLCBkYSBuYW5nIHZpZXRuYW0%3D,/@TravelwithDodo,Travel with Dodo,3 Days in Da Nang: The Travel Guide to an Unforgettable Trip!,55K,1 year,"Discover the ultimate 3-day itinerary for Da Nang, Vietnam! From relaxing on the pristine shores of My Khe Beach to exploring the ...",2026-01-21 23:15:09.415010
/watch?v=Gdy3cTKQK_A&pp=ygUgZGFuYW5nLCBkYSBuYW5nLCBkYSBuYW5nIHZpZXRuYW0%3D,/channel/UC5WrayTqmGntbnsp6ZPzFbA,Powell Lumor,"They gave me free stuffs, Da Nang Beach Shopping 🇻🇳 | Dragon Market Tour + 10% Discount",151,8 hours,"Location: https://share.google/zZEhY9eefROOXUgXm While walking and vlogging near the beach in Da Nang in the evening, ...",2026-01-21 23:15:09.416358
/watch?v=tPFeYHI9UIA&pp=ygUgZGFuYW5nLCBkYSBuYW5nLCBkYSBuYW5nIHZpZXRuYW0%3D,/@DianaNevenTravel,Diana Neven,"Da Nang, Vietnam 🇻🇳 | Best Things to do and Delicious Food to eat ! Travel guide Part 2",15K,3 months,"Da Nang Vietnam Travel Guide: Discover Da Nang, Vietnam — a vibrant city of stunning beaches, iconic landmarks, and hidden ...",2026-01-21 23:15:09.418025
/watch?v=vgwHoyHmfHw&pp=ygUgZGFuYW5nLCBkYSBuYW5nLCBkYSBuYW5nIHZpZXRuYW0%3D,/@SocialSamyWalks,Social Samy Walks,This Is Da Nang at Night 🇻🇳 An Thuong Comes Alive After Sunset,6.6K,7 days,"Tonight I take you on a real evening walking tour through the An Thuong area in Da Nang, Vietnam, showing what the nightlife ...",2026-01-21 23:15:09.419502
/watch?v=3hqyhPlzUzQ&pp=ygUgZGFuYW5nLCBkYSBuYW5nLCBkYSBuYW5nIHZpZXRuYW0%3D,/@Sidetracked_in_Macau,"McMacau (Formerly ""Sidetracked"")","🇻🇳 Da Nang, Vietnam: (Walking the Streets) Đường Hà Huy Giáp",36,11 hours,Filming and walking Vietnam in 4K. GoPro 12 Camera. Đà Nẵng Danang #vietnam #ĐàNẵng #danang If you want to contact me: ...,2026-01-21 23:15:09.420921
